재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	dart_EquityAtBeginningOfPeriod	         기초자본	183,000,000,000	183,000,000,000	183,000,000,000
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	dart_DividendToHybridBond	               신종자본증권배당	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	dart_InterimDividendsPaid	               중간배당	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	dart_IssueOfHybridBond	               신종자본증권발행	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_IssueOfEquity	               유상증자	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_ChangesInEquity	            자본 증가(감소) 합계	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxChangeInFairValueOfFinancialLiabilityAttributableToChangeInCreditRiskOfLiability	                     당기손익-공정가치측정지정금융부채의 자기신용위험조정	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome	                     기타포괄손익-공정가치측정금융자산관련손익 합계	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	                  확정급여제도의재측정요소	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	               당기순이익(손실)	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_Equity	         자본총계	183,000,000,000	183,000,000,000	183,000,000,000
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	dart_EquityAtBeginningOfPeriod	         기초자본	99,956,480,000	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	dart_DividendToHybridBond	               신종자본증권배당	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	dart_InterimDividendsPaid	               중간배당	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	dart_IssueOfHybridBond	               신종자본증권발행	0	99,956,480,000	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_IssueOfEquity	               유상증자	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_ChangesInEquity	            자본 증가(감소) 합계	0	99,956,480,000	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxChangeInFairValueOfFinancialLiabilityAttributableToChangeInCreditRiskOfLiability	                     당기손익-공정가치측정지정금융부채의 자기신용위험조정	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome	                     기타포괄손익-공정가치측정금융자산관련손익 합계	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	                  확정급여제도의재측정요소	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	               당기순이익(손실)	0	0	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_Equity	         자본총계	99,956,480,000	99,956,480,000	0
 자본변동표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	dart_EquityAtBeginningOfPeriod	         기초자본	581,479,942,760	581,479,942,760	581,479,942,760
