stock_code,contribution,name,pct
316140,31.057997331468457,우리금융지주,4.455683214171941
055550,30.750795070271987,신한지주,4.411610959803438
039490,30.210696730945333,키움증권,4.334126662317791
082740,30.14748519149462,HSD엔진,4.325058125403882
214450,26.24258191497289,파마리서치,3.76484776166179
086790,26.17412459595842,하나금융지주,3.7550266478287053
105560,25.58727513277886,KB금융,3.670835279195751
071050,24.86614760574204,한국금융지주,3.5673799345641215
032830,23.274864498793896,삼성생명,3.339089187000683
042660,22.363068610541504,대우조선해양,3.2082799274506213
298040,22.194461851304414,효성중공업,3.184091043057633
010140,21.73955920613527,삼성중공업,3.1188292021691066
016360,20.237379885798298,삼성증권,2.903321579096451
028260,19.816768244309333,삼성물산,2.8429792392261075
047810,18.593108777338983,한국항공우주,2.6674289972496847
079550,17.824688756555894,LIG넥스원,2.5571889147519062
267250,17.53494575425478,현대중공업지주,2.515621423519341
000810,16.911515741948552,삼성화재,2.426182088091575
024110,15.581496754305885,기업은행,2.2353731568355686
006800,15.211935681887892,미래에셋대우,2.182354700770605
006260,14.577234221621845,LS,2.0912983260682845
005830,13.936695235444603,DB손해보험,1.9994044805549136
000720,13.371722170632484,현대건설,1.9183515725236535
138930,10.8613547125568,BNK금융지주,1.5582059383742783
006400,10.799786395045949,삼성SDI,1.5493731435250127
067310,10.382516688584149,하나마이크론,1.4895102487278484
005380,9.789170218841225,현대차,1.4043867980041593
034730,9.238583782868492,SK,1.3253978434192222
005385,9.185579382055682,현대차우,1.3177936564377395
329180,8.984834758146171,HD현대중공업,1.2889941674834857
012450,8.833146383024673,한화에어로스페이스,1.2672324505382315
066570,7.943067051825226,LG전자,1.13953872022522
003550,7.712425177395016,LG,1.1064500726406383
247540,7.358835123586135,에코프로비엠,1.0557228718285603
005940,7.235539134668237,NH투자증권,1.038034420692029
035420,6.955095676401804,NAVER,0.9978010728626119
005387,6.65064758719722,현대차2우B,0.9541239411345742
267260,6.361343359138699,현대일렉트릭,0.9126193979088191
005930,5.956950928135259,삼성전자,0.8546039197203863
003230,5.634015840091347,삼양식품,0.808274581878423
272210,5.531661922534326,한화시스템,0.7935905496951412
078930,5.483560666661273,GS,0.7866897841342855
064350,5.394675874989291,현대로템,0.7739380773831633
047050,5.139828183647346,포스코인터내셔널,0.7373767830935198
086280,4.976121266425517,현대글로비스,0.7138908462726653
058470,4.757463077214491,리노공업,0.6825214178800093
402340,4.750143815915628,SK스퀘어,0.6814713724002114
010950,4.742019028132376,S-Oil,0.6803057634216871
373220,4.5314653731386105,LG에너지솔루션,0.650099038363864
002380,4.482372031049703,KCC,0.6430559448270019
033500,4.046647374060251,동성화인텍,0.5805454416729039
011070,4.006524431105159,LG이노텍,0.5747892713210234
001450,3.926571864721938,현대해상,0.5633190112085745
175330,3.8527456035002365,JB금융지주,0.552727651135357
032640,3.833056337295294,LG유플러스,0.5499029637612025
051910,3.7544313405366516,LG화학,0.5386231611862681
005490,3.6493400143258903,POSCO,0.5235464112865598
003160,3.6426700706055617,디아이,0.5225895190582245
036570,3.317077425799004,엔씨소프트,0.4758789193167364
097230,3.3,한진중공업,0.4734289352220829
376300,3.1327839411650453,디어유,0.44943956531715396
000100,3.002066096552446,유한양행,0.4306863501688301
036460,2.823814851917143,한국가스공사,0.40511383594164757
010620,2.501943371894069,현대미포조선,0.3589370868308355
018260,2.3694177849996843,삼성에스디에스,0.3399245269844445
204320,2.1625698323878417,만도,0.31024943426993157
083650,2.1,비에이치아이,0.30127295877768917
033780,2.0607608653378415,KT&G,0.2956435824921917
004370,1.9407136619159648,농심,0.2784212128884317
000990,1.86116772395274,DB하이텍,0.2670092890365616
251270,1.7999999999999998,넷마블,0.2582339646665907
012510,1.7472561805531017,더존비즈온,0.25066716155135105
034020,1.7292358626581938,두산중공업,0.2480819070321542
450080,1.6925277861708097,에코프로머티,0.24281564473958658
077970,1.6808199640780646,STX엔진,0.24113600178590844
011780,1.6698720777720393,금호석유,0.23956538173839512
112610,1.6291214152245508,씨에스윈드,0.23371915665371273
100090,1.6256194405902125,삼강엠앤티,0.23321675176816437
139480,1.5689991502612997,이마트,0.22509381729471514
011790,1.5434882333808515,SKC,0.2214339366234274
009540,1.4905500705218617,한국조선해양,0.21383925235829265
475150,1.3248675882399867,SK이터닉스,0.19006989442748665
095340,1.2955657397201388,ISC,0.18586615414118654
108490,1.2,로보티즈,0.1721559764443938
034220,1.1861878453038672,LG디스플레이,0.170174438962299
475960,1.1536359246338435,토모큐브,0.1655044325555587
030200,1.1413755977597282,KT,0.16374552543510804
005290,1.0717336041855219,동진쎄미켐,0.15375445426402332
000270,0.9446562302097348,기아차,0.13552351309669744
039030,0.8999999999999999,이오테크닉스,0.12911698233329535
000880,0.8999999999999999,한화,0.12911698233329535
062040,0.8999999999999999,산일전기,0.12911698233329535
010130,0.8953459045719815,고려아연,0.12844929038089875
307950,0.8663151604929142,현대오토에버,0.12428444363603282
161390,0.8174066278149741,한국타이어앤테크놀로지,0.11726786346967169
090430,0.8099531550082624,아모레퍼시픽,0.11619856356222072
068270,0.8078408390701965,셀트리온,0.11589552371815673
012330,0.709463884407328,현대모비스,0.10178203981014673
207940,0.6638978009066583,삼성바이오로직스,0.09524497847864292
141080,0.6517311881254867,레고켐바이오,0.09349951589250673
298380,0.6,에이비엘바이오,0.0860779882221969
115180,0.6,큐리언트,0.0860779882221969
028050,0.5892867027723542,삼성엔지니어링,0.08454102310122659
005935,0.5759935104889007,삼성전자우,0.0826339376865424
403870,0.5650606768658932,HPSP,0.08106547714681495
