month,ic
202501,0.16934501236718205
202502,0.2818519961972922
202503,0.30264600781815376
202504,0.2563695293236427
202505,0.17229983863160347
202506,0.1334024649831032
202507,-0.04577990937332154
202508,0.03342505997903505
202509,-0.004759336473061392
202510,-0.01752509363363241
202511,
202512,
